TIMESTAMP,RAWEEG,POOR_SIGNAL_LEVEL,BLINKSTRENGTH,ATTENTION,MEDITATION,DELTA,THETA,LOW_ALPHA,HIGH_ALPHA,LOW_BETA,HIGH_BETA,LOW_GAMMA,HIGH_GAMA
1500268104,834,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,832,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,690,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,393,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,202,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,213,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,281,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,354,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,393,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,406,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,396,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,404,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,437,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,485,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,506,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,461,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,395,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,314,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,202,0,0,0,0,0,0,0,0,0,0,0,0
1500268104,85,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-33,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-108,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-20,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,184,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,272,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,182,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,11,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-76,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-135,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-236,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-315,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-337,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-369,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-424,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-445,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-451,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-451,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-425,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-387,0,0,0,0,0,0,0,0,0,0,0,0
1500268135,-340,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-308,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-310,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-337,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-405,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-540,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-646,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-609,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-458,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-344,0,0,0,0,0,0,0,0,0,0,0,0
1500268167,-315,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-277,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-235,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-219,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-179,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-120,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-115,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-149,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-184,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-211,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-235,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-261,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-299,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-326,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-301,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-259,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-241,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-245,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-228,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-166,0,0,0,0,0,0,0,0,0,0,0,0
1500268198,-83,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,-19,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,67,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,160,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,203,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,217,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,192,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,113,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,65,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,86,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,108,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,59,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,6,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,-28,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,-59,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,-60,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,-24,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,-4,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,-6,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,-45,0,0,0,0,0,0,0,0,0,0,0,0
1500268229,-87,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,-101,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,-44,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,21,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,97,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,193,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,329,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,482,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,594,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,666,0,0,0,0,0,0,0,0,0,0,0,0
1500268260,723,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,731,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,723,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,717,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,652,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,563,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,480,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,347,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,294,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,355,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,416,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,387,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,309,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,260,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,261,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,320,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,304,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,204,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,131,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,88,0,0,0,0,0,0,0,0,0,0,0,0
1500268292,44,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,21,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,32,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,73,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,102,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,107,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,134,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,156,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,138,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,73,0,0,0,0,0,0,0,0,0,0,0,0
1500268323,-50,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-193,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-226,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-174,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-136,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-150,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-182,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-152,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-42,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,74,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,145,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,104,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-98,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-353,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-466,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-467,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-455,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-401,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-332,0,0,0,0,0,0,0,0,0,0,0,0
1500268354,-278,0,0,0,0,0,0,0,0,0,0,0,0
